Date,Open,High,Low,Close
03-Jan-20,15844.88,15845.26,15734.58,15777.51
02-Jan-20,15713.68,15845.01,15710.36,15838.69
01-Jan-20,15699.53,15734.92,15674.02,15694.44
31-Dec-19,15764.54,15764.66,15647.82,15667.44
30-Dec-19,15765.12,15786.44,15700.17,15748.18
27-Dec-19,15623.81,15737.79,15619.34,15726.46
26-Dec-19,15688.14,15688.14,15571.84,15581.54
24-Dec-19,15724.95,15735.3,15647.97,15659.03
23-Dec-19,15691.43,15744.05,15649.73,15705.98
20-Dec-19,15712.55,15739.52,15693.73,15716.53
19-Dec-19,15662.12,15702.75,15622.04,15689.86
18-Dec-19,15644.32,15671.2,15589.91,15653.35
17-Dec-19,15511.56,15618.07,15497.04,15602.7
16-Dec-19,15573.9,15578.36,15467.83,15472.95
13-Dec-19,15427.92,15533.77,15423.42,15521.95
12-Dec-19,15338.64,15413.56,15324.97,15371.37
11-Dec-19,15244.21,15302.47,15193.17,15286.77
10-Dec-19,15377.22,15377.22,15210.32,15222.75
09-Dec-19,15376.71,15411.76,15293.27,15344.56
06-Dec-19,15532.72,15532.72,15298.51,15338.67
05-Dec-19,15561.3,15564.68,15457.85,15478.54
04-Dec-19,15438.15,15532.06,15392.81,15521.26
03-Dec-19,15569.42,15575.03,15415.82,15457.18
02-Dec-19,15644.73,15649.7,15518.02,15545.31
29-Nov-19,15675.97,15676.36,15523.34,15567.67
28-Nov-19,15622.15,15668.51,15578.55,15660.07
27-Nov-19,15541.77,15589.11,15517.11,15576.18
26-Nov-19,15597.37,15635.33,15458.13,15492.35
25-Nov-19,15390.07,15566.2,15375.78,15554.52
22-Nov-19,15437.31,15437.31,15312.19,15355.38
21-Nov-19,15507.97,15511.26,15398.99,15410.83
20-Nov-19,15476.89,15511.53,15434.54,15461.96
19-Nov-19,15389.97,15416.2,15336.09,15395.1
18-Nov-19,15370.02,15400.15,15319.79,15341.05
15-Nov-19,15357.15,15425.12,15324.2,15336.64
14-Nov-19,15304.4,15342.79,15228.68,15313.36
13-Nov-19,15404.23,15442.18,15263.31,15284.82
11-Nov-19,15378.08,15411.99,15331.43,15391.45
08-Nov-19,15510.99,15538.18,15353.44,15372.39
07-Nov-19,15503.4,15520.95,15437.05,15507.01
06-Nov-19,15410.07,15486.51,15321.29,15437.74
05-Nov-19,15494.78,15500.18,15340.41,15393.76
04-Nov-19,15463.83,15531.88,15423.46,15452.27
01-Nov-19,15406.92,15453.24,15369.48,15409.93
31-Oct-19,15373.22,15456.77,15356.32,15387.13
30-Oct-19,15313.2,15357.78,15248.35,15317.96
29-Oct-19,15066.65,15268.53,15043.55,15239.54
27-Oct-19,15084.42,15087.92,15022.28,15047.74
25-Oct-19,15030.76,15040.69,14864.76,14967.51
24-Oct-19,15066.1,15099.42,14922.58,14978.5
23-Oct-19,15036.32,15076.1,14952.87,15016.61
22-Oct-19,15051.55,15122.7,14979.97,14996.4
18-Oct-19,14929.91,15074.78,14885.61,15051.55
17-Oct-19,14750.6,14925.36,14720,14910.83
16-Oct-19,14727.38,14761.2,14676.95,14731.77
15-Oct-19,14609.73,14723.19,14591.48,14681.49
14-Oct-19,14573.19,14676.38,14532.43,14580.11
11-Oct-19,14491.72,14605.58,14400.28,14535.99
10-Oct-19,14547.83,14547.83,14429.11,14450.8
09-Oct-19,14367.77,14563.47,14291.12,14555.96
07-Oct-19,14465.47,14465.47,14325.37,14338.91
04-Oct-19,14673.52,14678.45,14400.52,14415.63
03-Oct-19,14605.71,14657.45,14521.52,14586.04
01-Oct-19,14869.76,14906.16,14495.46,14645.34
30-Sep-19,14917.81,14917.84,14711.04,14810.02
27-Sep-19,14990.18,15013.53,14888.31,14899.79
26-Sep-19,14854.84,15018.55,14848.64,14981.24
25-Sep-19,15021.47,15021.47,14790.8,14819.33
24-Sep-19,15071,15112.36,14964.39,15024.64
23-Sep-19,14905.28,15151.94,14897.55,15044.91
20-Sep-19,13938.89,14739.13,13876.25,14643.08
19-Sep-19,14095.24,14095.24,13860.19,13900.71
18-Sep-19,14090.88,14126.9,14022.19,14078.06
17-Sep-19,14297.67,14297.67,14017.2,14038.13
16-Sep-19,14293.92,14343.01,14241.45,14283.54
13-Sep-19,14270.83,14359.56,14187.72,14351.45
12-Sep-19,14313.42,14366.24,14224.87,14240.32
11-Sep-19,14251.55,14308.05,14238.02,14288.49
09-Sep-19,14140.75,14244.25,14081.64,14220.34
06-Sep-19,14059.89,14148.02,14043.61,14137.04
05-Sep-19,14041.26,14099.8,13993.61,14022.67
04-Sep-19,13964.57,14016.83,13875.51,14002.77
03-Sep-19,14185.46,14185.46,13923.98,13955.84
30-Aug-19,14174.05,14256.44,14050.46,14234.07
29-Aug-19,14203.07,14203.07,14072.32,14122.1
28-Aug-19,14311.87,14337.08,14158.01,14219.71
27-Aug-19,14267.2,14338.53,14223.1,14302.54
26-Aug-19,14170.53,14221.89,13851.23,14209.07
23-Aug-19,13799.06,13968.25,13678.41,13932.86
22-Aug-19,14057.93,14057.93,13802.74,13821.18
21-Aug-19,14190.07,14207.11,14043.3,14052.31
